Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bin/cmd/extract.rs                           686                98    85.71%          37                 1    97.30%         457                52    88.62%           0                 0         -
bin/cmd/inspect.rs                           215                12    94.42%           6                 0   100.00%         113                 6    94.69%           0                 0         -
bin/cmd/rewrite.rs                            61                18    70.49%           3                 0   100.00%          43                 7    83.72%           0                 0         -
bin/cmd/schema.rs                            975               132    86.46%          55                 2    96.36%         585                76    87.01%           0                 0         -
bin/cmd/search.rs                           1092                83    92.40%          64                 1    98.44%         629                57    90.94%           0                 0         -
bin/common/mod.rs                            220                60    72.73%          14                 2    85.71%         129                32    75.19%           0                 0         -
bin/robocodec.rs                              30                 6    80.00%           2                 0   100.00%          16                 2    87.50%           0                 0         -
core/error.rs                                534                12    97.75%          38                 0   100.00%         323                 0   100.00%           0                 0         -
core/mod.rs                                   33                15    54.55%           6                 2    66.67%          27                12    55.56%           0                 0         -
core/registry.rs                             174                55    68.39%          21                11    47.62%         104                31    70.19%           0                 0         -
core/value.rs                                992               115    88.41%          72                 0   100.00%         521                44    91.55%           0                 0         -
encoding/cdr/calculator.rs                   540                 3    99.44%          59                 1    98.31%         315                 3    99.05%           0                 0         -
encoding/cdr/codec.rs                        116                45    61.21%          13                 3    76.92%          77                28    63.64%           0                 0         -
encoding/cdr/cursor.rs                      1004                44    95.62%          66                 3    95.45%         573                41    92.84%           0                 0         -
encoding/cdr/decoder.rs                     1171               385    67.12%          40                12    70.00%         599               187    68.78%           0                 0         -
encoding/cdr/encoder.rs                     2225               651    70.74%         156                53    66.03%        1064               279    73.78%           0                 0         -
encoding/cdr/plan.rs                         380                 8    97.89%          37                 0   100.00%         258                 0   100.00%           0                 0         -
encoding/codec.rs                            146                34    76.71%          13                 6    53.85%          78                23    70.51%           0                 0         -
encoding/json/decoder.rs                     432               109    74.77%          25                 9    64.00%         206                59    71.36%           0                 0         -
encoding/protobuf/codec.rs                  1539               152    90.12%          66                 8    87.88%         855                77    90.99%           0                 0         -
encoding/protobuf/decoder.rs                 331                96    71.00%          16                 4    75.00%         182                69    62.09%           0                 0         -
encoding/registry.rs                         195                 6    96.92%          21                 2    90.48%         100                 6    94.00%           0                 0         -
encoding/transform.rs                        988               232    76.52%          72                13    81.94%         638               196    69.28%           0                 0         -
io/arena.rs                                  248                59    76.21%          29                13    55.17%         145                44    69.66%           0                 0         -
io/detection.rs                              255                14    94.51%          21                 1    95.24%         150                11    92.67%           0                 0         -
io/filter.rs                                 249                53    78.71%          21                 6    71.43%         124                27    78.23%           0                 0         -
io/formats/bag/parallel.rs                   577               311    46.10%          54                31    42.59%         467               247    47.11%           0                 0         -
io/formats/bag/parser.rs                     666               184    72.37%          32                15    53.12%         420               140    66.67%           0                 0         -
io/formats/bag/sequential.rs                 788               127    83.88%          52                 8    84.62%         475                85    82.11%           0                 0         -
io/formats/bag/writer.rs                     819                78    90.48%          51                12    76.47%         474                41    91.35%           0                 0         -
io/formats/mcap/parallel.rs                 1449               413    71.50%          73                22    69.86%         803               249    68.99%           0                 0         -
io/formats/mcap/reader.rs                    671               440    34.43%          54                33    38.89%         502               338    32.67%           0                 0         -
io/formats/mcap/sequential.rs                694               148    78.67%          58                11    81.03%         408                93    77.21%           0                 0         -
io/formats/mcap/two_pass.rs                  727               533    26.69%          43                29    32.56%         451               337    25.28%           0                 0         -
io/formats/mcap/writer.rs                   1015               211    79.21%          46                14    69.57%         542                61    88.75%           0                 0         -
io/metadata.rs                               251                43    82.87%          39                 8    79.49%         220                38    82.73%           0                 0         -
io/reader/config.rs                           76                 0   100.00%          14                 0   100.00%          72                 0   100.00%           0                 0         -
io/reader/mod.rs                             332               105    68.37%          38                13    65.79%         249                94    62.25%           0                 0         -
io/traits.rs                                 459                98    78.65%          78                32    58.97%         393               102    74.05%           0                 0         -
io/writer/builder.rs                         171                40    76.61%          21                 3    85.71%         137                31    77.37%           0                 0         -
io/writer/mod.rs                             214                36    83.18%          24                 3    87.50%         156                23    85.26%           0                 0         -
rewriter/bag.rs                              375                90    76.00%          15                 5    66.67%         219                62    71.69%           0                 0         -
rewriter/engine.rs                           575               244    57.57%          42                18    57.14%         389               178    54.24%           0                 0         -
rewriter/facade.rs                           141                38    73.05%          19                 4    78.95%         101                32    68.32%           0                 0         -
rewriter/mcap.rs                             888               398    55.18%          52                15    71.15%         568               218    61.62%           0                 0         -
schema/ast.rs                                296               103    65.20%          18                 3    83.33%         192                63    67.19%           0                 0         -
schema/builtin_types.rs                      195                 2    98.97%          15                 0   100.00%         131                 0   100.00%           0                 0         -
schema/descriptor.rs                          97                 1    98.97%          11                 0   100.00%          52                 1    98.08%           0                 0         -
schema/mod.rs                                115                 0   100.00%          13                 0   100.00%          61                 0   100.00%           0                 0         -
schema/parser/idl_parser/mod.rs              548               249    54.56%          33                13    60.61%         340               149    56.18%           0                 0         -
schema/parser/mod.rs                          45                20    55.56%           7                 4    42.86%          31                 8    74.19%           0                 0         -
schema/parser/msg_parser/mod.rs              574                34    94.08%          29                 2    93.10%         310                15    95.16%           0                 0         -
schema/parser/ros2_idl_parser/mod.rs         350                23    93.43%          18                 0   100.00%         352                14    96.02%           0                 0         -
schema/parser/unified.rs                     410                76    81.46%          21                 4    80.95%         204                44    78.43%           0                 0         -
transform/mod.rs                             204                92    54.90%          21                11    47.62%         157                71    54.78%           0                 0         -
transform/normalization.rs                   137                 8    94.16%          12                 2    83.33%          97                 9    90.72%           0                 0         -
transform/pipeline.rs                        561                28    95.01%          42                 2    95.24%         290                17    94.14%           0                 0         -
transform/topic_rename.rs                    480                27    94.38%          39                 4    89.74%         285                21    92.63%           0                 0         -
transform/type_rename.rs                    1626               344    78.84%         117                23    80.34%         915               193    78.91%           0                 0         -
types/arena.rs                               376                87    76.86%          29                 6    79.31%         223                53    76.23%           0                 0         -
types/arena_pool.rs                          134                21    84.33%          18                 4    77.78%          86                13    84.88%           0                 0         -
types/buffer_pool.rs                         303                65    78.55%          37                12    67.57%         201                47    76.62%           0                 0         -
types/chunk.rs                               277                37    86.64%          31                 6    80.65%         254                47    81.50%           0                 0         -
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                      32447              7251    77.65%        2289               525    77.06%       19538              4503    76.95%           0                 0         -

Generated by llvm-cov -- llvm version 21.1.3-rust-1.92.0-stable
